label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_um,mean_intensity,max_intensity
238,928.2142857142857,354.64285714285717,14.0,1.4353535174563994,4.222008245644752,558.5365074967536,164.14285714285714,187.0
239,872.5,355.0,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,117.8,131.0
240,1507.5,359.0,16.0,1.4796776500065523,4.51351666838205,597.100642588042,195.9375,221.0
241,1308.0,360.35714285714283,14.0,1.2947179437557332,4.222008245644752,558.5365074967536,177.78571428571428,204.0
242,1069.6363636363637,362.45454545454544,11.0,1.4822832322288846,3.742410318509555,495.08969838615985,217.9090909090909,231.0
243,1008.1111111111111,367.44444444444446,18.0,1.3239153988894836,4.787307364817192,633.3208701372743,146.55555555555554,175.0
244,757.4615384615385,367.0769230769231,13.0,1.2924583435578991,4.068428945128219,538.2192458659206,145.30769230769232,171.0
245,705.8333333333334,368.0833333333333,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,203.41666666666666,235.0
246,1026.357142857143,369.2142857142857,14.0,1.4353535174563994,4.222008245644752,558.5365074967536,170.35714285714286,185.0
247,991.5,370.0,10.0,1.612290114374728,3.5682482323055424,472.04950573208737,167.8,177.0
248,374.1666666666667,372.9166666666667,12.0,1.4373655585266922,3.9088200952233594,517.1043250972568,145.75,163.0
249,1185.2142857142858,373.5,14.0,1.2947179437557332,4.222008245644752,558.5365074967536,217.42857142857142,234.0
250,269.17391304347825,375.5217391304348,23.0,0.86511144440387,5.4115163798060095,715.8985210785033,217.52173913043478,236.0
251,1115.1818181818182,379.54545454545456,11.0,1.4822832322288846,3.742410318509555,495.08969838615985,121.72727272727273,155.0
252,642.0,383.0,16.0,1.1768136879017634,4.51351666838205,597.100642588042,191.875,214.0
253,667.3846153846154,383.2307692307692,13.0,1.3841297971012434,4.068428945128219,538.2192458659206,142.84615384615384,168.0
254,368.53333333333336,384.8666666666667,15.0,1.3871977968811426,4.370193722368317,578.1402111883085,143.6,153.0
255,74.3913043478261,385.60869565217394,23.0,1.0681179896638562,5.4115163798060095,715.8985210785033,208.91304347826087,230.0
256,1150.0555555555557,388.1111111111111,18.0,1.323915398889484,4.787307364817192,633.3208701372743,137.16666666666666,171.0
