label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,mean_intensity,max_intensity
57,632.7831371792398,472.6882114605441,5183.0,0.8104511402570923,81.23546368651039,219.16678218911014,79.56909520063324,214.67105332369246,39143.28670654062,60652.0
58,448.76211745244,948.5396195202646,6045.0,0.8057975258393076,87.7310267118997,236.69129158656847,82.33219429885972,222.12567364277965,40809.98444995865,61166.0
59,982.2872747132715,908.876752230111,5493.0,0.9061056131142606,83.62956904845468,225.6258869272069,88.77600406682112,239.51055689195806,39281.46513744766,59110.0
60,595.7142857142857,417.40197568389056,5264.0,0.7620059649412229,81.86777732103087,220.87271378995564,71.79174318921169,193.68837978503802,41659.289893617024,62451.0
61,800.6602162777461,54.5177859988617,7028.0,0.5752019997860134,94.59559989977717,255.21136088160685,90.71475477568373,244.7411512044127,39970.55762663631,59881.0
62,736.0713864306784,594.308407079646,6780.0,0.7110705579612441,92.91159299734562,250.66804497939873,89.09983533591605,240.38422774947466,43180.88982300885,63222.0
63,563.4226501305483,805.4040469973891,6128.0,0.7973495838367305,88.33126247335694,238.3106796521192,81.08356914220971,218.75698286015046,40259.62875326371,63222.0
64,345.2189661448853,76.19220968329087,5494.0,0.7081270540206596,83.63718107860274,225.64642357558392,83.63718107860272,225.6464235755839,40066.08481980342,62451.0
65,255.427487809283,799.6738305941846,5537.0,0.7887703918731933,83.96384554794162,226.52773818070267,80.5191749613594,217.23429251175077,41649.40978869424,63993.0
66,723.1065819657667,175.10552320451737,5667.0,0.8478055458987392,84.94379612434429,229.17156643979098,81.45892243719169,219.76965602174823,41629.963825657316,61423.0
67,1360.425550791069,782.7030903445217,6763.0,0.631894214301668,92.79503780398986,250.35358839214035,73.76015825445347,198.99900615785515,40525.36211740352,59881.0
68,1374.7679594956057,127.49656094764998,10468.0,0.5472623257439808,115.44813361110556,311.4698286320739,134.39346835754338,362.5828261511835,38708.967806648834,60909.0
69,788.4475785896346,278.01767204757857,5885.0,0.8235782468647828,86.56220145517577,233.53789454994782,81.23529675024187,219.16633180841256,40131.871028037385,61166.0
70,652.7285714285714,547.7728222996516,5740.0,0.7744854706344337,85.48915128119961,230.64289102457408,78.47465681710118,211.71834611999364,41266.543728223,62965.0
71,1117.474767864352,31.77735163504239,4954.0,0.7547605895939226,79.42058111483443,214.27037420133414,81.04972124026693,218.665663928541,41728.83165119096,62194.0
72,1053.066616428033,94.75116804822909,6635.0,0.7029831031929445,91.91269977167359,247.97311096799362,91.91269977167357,247.9731109679936,40839.604672192916,62965.0
73,483.48452950558215,725.0514619883041,9405.0,0.6278520576408196,109.42951118521093,295.2320668168043,98.20597157647134,264.95185483559356,42641.72418926103,64764.0
74,992.3785984848485,395.3501893939394,5280.0,0.8188016340667483,81.99210203551108,221.20813192364608,83.67399130803437,225.74573462977213,37458.91818181818,53970.0
75,373.9193174287608,988.8303512259774,6036.0,0.6848702136024839,87.6656939288194,236.51502896444046,80.47261135004446,217.10866761351198,39545.76855533466,61423.0
76,501.3064861012117,270.57448325017816,5612.0,0.8499540868507778,84.53058810308688,228.0567642550802,84.53058810308688,228.0567642550802,40029.12384176764,59881.0
77,147.52947019867548,395.45463576158943,6040.0,0.8270748497424122,87.69473673032141,236.59338411946877,87.69473673032141,236.59338411946877,39922.01407284768,58853.0
78,1379.3141762452108,499.4014659336998,6003.0,0.7896623450121425,87.42572268528971,235.86760574709686,85.63237452764272,231.0292958856179,41416.472597034815,62708.0
79,1513.174705597677,272.7176964026456,6199.0,0.34813047952191745,88.84149896199003,239.68725687953216,77.90716062820663,210.18728680205123,39924.05242781094,60395.0
80,1481.1730247694811,754.2865666244802,5531.0,0.7958556349759925,83.9183407958605,226.404969999968,80.4755370709021,217.11656097432822,43638.795154583255,62965.0
81,815.06435006435,571.8192682478397,5439.0,0.8388154357139382,83.2174854451548,224.51411833219206,84.92451078761951,229.11953614413446,40956.46313660599,59881.0
82,1251.031009174312,507.2016513761468,5450.0,0.7805708893536545,83.3015937350939,224.74103576978456,74.75784053149452,201.69067312672973,41937.77871559633,64250.0
