label,x_px,y_px,area_px,circularity,eq_diam_px,eq_diam_nm,mean_intensity,max_intensity
195,1.6304347826086956,329.1521739130435,46.0,0.8641270918176583,7.653039857325812,5.899215672342027,85.9049643206169,88.57707362755956
196,825.3432483474976,350.3640226628895,2118.0,0.7084733362185708,51.929965874715094,40.02933138510426,144.76740918160726,195.10318883338897
198,1398.8823529411766,331.15686274509807,51.0,1.0689806449419008,8.058239062071396,6.21155659093368,88.73806423824401,91.54537962088091
200,1126.8640776699028,338.99029126213594,206.0,0.9869910168640265,16.195287778099022,12.483862263855404,113.15872715577505,137.21899602290256
201,1426.9516129032259,335.2096774193548,62.0,1.044335913625604,8.884866446580956,6.848748257617338,89.44589934932755,93.81947869102376
202,1462.2537313432836,337.0,67.0,0.9119532591940697,9.23618154310838,7.119553527418861,87.23390908953375,89.3253897567743
203,577.6743697478992,346.3235294117647,476.0,0.9581391401899123,24.61832697999475,18.976618840970293,127.27204183454863,164.26135992958095
204,20.778135048231512,348.7652733118971,311.0,0.7803282910967083,19.899183360445615,15.338947207282375,91.36547766555312,102.56573168676435
208,1080.5870236869207,362.562306900103,971.0,0.9431955977169454,35.16127981086358,27.103474800447408,150.28704332289817,206.26455689876317
209,385.3833333333333,352.25,120.0,0.9135928386845736,12.360774464742066,9.528092862980522,98.4041873955611,103.49343158444316
210,934.4112903225806,355.7983870967742,248.0,0.9440459333076786,17.769732893161912,13.697496515234675,113.58342319389254,136.34579924814193
211,1141.4032586558044,366.3075356415479,982.0,0.6172216455055034,35.35988168715967,27.25656368055835,124.20204263621586,189.52403594535724
212,1186.2254672897195,365.8025700934579,856.0,0.9471648582943911,33.01352829210018,25.44791705398446,138.95407576492897,193.59477620744423
216,1422.7778860204578,381.82172430589384,2053.0,0.7960422777022267,51.1269086229677,39.41030835456806,138.45109119359321,191.76690699322893
217,516.8260869565217,365.5,46.0,1.0635183109480795,7.653039857325812,5.899215672342027,89.11655195769052,92.26143350301695
218,375.85271317829455,368.7674418604651,129.0,0.993949251364556,12.815923738491737,9.878936943112802,101.07361982456396,108.7722162072279
219,643.7303609341826,376.04458598726114,471.0,0.9205722288006833,24.488687706168772,18.876688610609193,129.40626451431876,172.2574814579063
220,192.14309835373575,395.59729843815956,2369.0,0.6302360072903082,54.9208929413716,42.334836668676296,140.50239846336927,190.64733603863448
221,1475.2689075630253,376.672268907563,357.0,0.9718799129251119,21.320096563347295,16.434233994214686,105.91090294921754,139.4978577989699
222,787.703125,375.5104166666667,192.0,0.986451766677891,15.635280380893438,12.05219008184523,108.18938825965803,122.90160377373005
223,1532.5049504950496,376.6732673267327,101.0,0.7088740170582764,11.340070282773887,8.741300396281444,83.81613023493152,100.9580896128882
224,309.6619718309859,379.63380281690144,142.0,0.6110001543901956,13.446189622059965,10.36476668494135,95.03067194092726,98.14790127984708
226,545.1686274509804,381.321568627451,255.0,0.9625454100875873,18.01877032173579,13.889462783414563,110.34155688980943,135.85465495575264
227,1237.9381443298969,378.16494845360825,97.0,1.0456834438372384,11.11324596323283,8.566456725576652,97.7185346040132,107.22886530213373
228,14.217142857142857,387.81142857142856,700.0,0.9170177101231625,29.854106607209232,23.012530558354914,126.14849768745135,172.96242200395912
229,592.1282642089094,393.43548387096774,1302.0,0.709262172806964,40.715573031030544,31.384907306228367,134.13738319380283,187.2342855116295
231,768.4634146341464,383.7560975609756,41.0,1.134163527744976,7.225151993843567,5.5693855868704185,97.97766592822195,100.6746885962705
232,1051.365909090909,391.28409090909093,440.0,0.9526594144788813,23.66908109081279,18.244908784474493,133.49138341952337,172.80337135375032
233,981.0602006688963,398.7173913043478,598.0,0.8577843102342716,27.59342761875783,21.269924591649954,121.48839302950005,155.750056760333
237,1313.5189248491497,413.5496434448711,1823.0,0.8194924878038725,48.17795855006936,37.13716032302562,147.54680994206672,206.64577468225673
239,1099.8780276816608,411.89446366782005,1156.0,0.8565965475105454,38.36489168124743,29.572924549331,151.43594751701102,207.89354116627152
240,1386.0796398891966,416.56024930747924,1444.0,0.8114607195855018,42.87840834962948,33.05209214336994,147.00531605044523,209.79864292622548
241,97.93793103448276,404.00689655172414,145.0,0.6908864330367231,13.58748446131949,10.473681409772286,97.16164260436281,103.01210213155484
242,856.8665835411472,410.8890274314214,802.0,0.7416884220711878,31.955251757380985,24.632162577897258,140.6550774749462,199.57711945756176
