label,x_px,y_px,x_init_px,y_init_px,center_offset_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,radius_change_factor,quality_score,gradient_sharpness,profile_symmetry,edge_contrast,center_quality,angular_variance,angular_cv,mean_intensity,max_intensity
37,234.36712496951986,601.4439827639274,235.60264696829793,601.4439827639274,1.2355219987780686,6498.0,0.9078569350426074,90.95883993152665,490.79843726772947,90.95883993152665,490.79843726772947,0.0,0.7741160718859885,5754.831481676144,0.881216540375338,0.26039173022973217,0.46435476476426757,30624100.06829866,0.11535258726324384,48817.38427208372,61505.0
39,1398.0040160542603,435.71565389696167,1396.7684940554823,435.71565389696167,1.2355219987780401,6056.0,0.8830629031799168,87.8108118793816,473.81221306312364,91.4133067257152,493.2506628298159,0.04102564102470656,0.8099549697767918,6697.606895609979,0.9167246943179436,0.2764184153600984,0.5095612907740246,19314864.38359515,0.09624724603413223,48685.04392338177,61921.0
40,1263.3267659778953,119.76555563645226,1263.3267659778953,118.5300336376742,1.2355219987780686,6243.0,0.8351485106595993,89.1562363370147,481.0718947143541,89.15623633701469,481.07189471435396,1.593927166369555e-16,0.7826161542352518,4735.743358368241,0.9265345131240011,0.20385076328817395,0.4438911460585375,30434164.113375172,0.12528045645409797,46489.51081210956,60026.0
41,227.0084284937466,281.8224578575313,227.0084284937466,281.8224578575313,0.0,7356.0,0.7529106172728799,96.7778388427426,522.1967661628358,92.80746596714289,500.77330908948863,0.041025641024793315,0.5038193636462874,848.4027331266352,0.9506736661479258,0.06350963574993286,0.2756317888028453,138391630.38116157,0.26280285533947717,48746.01862425231,63953.0
42,1427.1642521810272,126.326122388502,1425.9287301822492,126.326122388502,1.2355219987780401,6749.0,0.6759308773855223,92.69894113428488,500.1877275406084,90.79742439306878,489.92746646285235,0.020512820512377936,0.7639661478313735,4573.656098875148,0.9115581244897457,0.19304780527692572,0.5051789218509799,22438223.346368287,0.0979496682751512,49238.60720106682,64294.0
44,62.7638358778626,584.7773536895675,62.7638358778626,584.7773536895675,0.0,6288.0,0.8750952827909126,89.47698171761664,482.8025822613674,91.31240698361901,492.706224974421,0.02051282051236181,0.7839546967167423,4710.461928134925,0.9310278375299774,0.19013232878036562,0.47074397715651106,22865053.61636591,0.11242969608244695,46745.00699745547,61169.0
45,211.77308542208303,740.2971241245716,209.3020414245269,740.2971241245716,2.471043997556137,6711.0,0.676706137486585,92.43760373742754,498.7775953745236,92.43760373742754,498.7775953745236,0.0,0.8365719373447973,5806.007159718871,0.9187426818893732,0.2416273842177016,0.38673352026090974,56019568.27168389,0.1585759825849464,48979.34003874236,63407.0
46,723.2822593734784,932.7615646810583,723.2822593734784,932.7615646810583,0.0,6161.0,0.8572180595352087,88.56878025079344,477.9020815406388,90.3855757431174,487.70520116198514,0.02051282051235724,0.7792331058383628,5182.470142408839,0.9097766062468778,0.22152389025631225,0.5891653207133755,9306551.495247792,0.06973164659270442,47362.9008277877,60077.0
47,562.0517323208353,868.5393553940396,562.0517323208353,869.7748773928176,1.2355219987780401,6321.0,0.8950252648859377,89.71146616944215,484.067820501061,91.55170137291788,493.99741681903146,0.02051282051236312,0.8070169445269202,6903.825618555737,0.9206895791295386,0.27619571368069945,0.44953384814143865,31323508.549335144,0.12245265937913667,48667.26704635342,61825.0
48,355.42984436108236,460.0486089421286,352.9588003635262,458.8130869433505,2.762711176964186,6602.0,0.6609431849943271,91.68384522009067,494.7104425539219,91.68384522009066,494.7104425539218,1.549984588972931e-16,0.7813575725559756,5125.540355059526,0.9186562761730124,0.22240539917442517,0.42704001753980314,36513547.41724508,0.13417009154342147,47661.50348379279,61902.0
50,921.7043605597137,824.3904135690709,921.7043605597137,825.625935567849,1.2355219987780401,6146.0,0.9152353769358428,88.46089668289775,477.3199601484802,92.09006167501663,496.902317487905,0.041025641024713386,0.7768140320274093,7396.417884282376,0.8795657419652022,0.32520966249896127,0.3846667351803238,48974888.05916732,0.15996529165206363,47107.82427595184,61430.0
53,973.7031273380219,167.87999207476696,973.7031273380219,165.40894807721082,2.471043997556137,6683.0,0.7601169403447597,92.24456557144758,497.735994247384,90.35236935459737,487.52602513461716,0.020512820512375792,0.7884420032131032,4525.039136437682,0.9247344256302008,0.1942819072318819,0.45894342235494395,28112339.902251814,0.11789178170781285,48426.36824779291,62884.0
54,1196.0430412789838,537.9102042223017,1194.8075192802057,539.1457262210797,1.747291967282219,6224.0,0.7698741904855166,89.02046352626823,480.3392877089439,89.02046352626823,480.3392877089439,0.0,0.7918287832316628,6340.609793301272,0.8849919508258328,0.2663117756972371,0.4021778023995385,48769240.22279201,0.148646244032773,48649.894280205655,61703.0
55,720.1259740259741,224.0692157427036,720.1259740259741,226.54025974025973,2.471043997556137,6930.0,0.6169467749168505,93.93375349156807,506.85056510240776,93.93375349156807,506.85056510240776,0.0,0.8360094896649097,5195.256644848344,0.9594511533850795,0.21749919049069105,0.25289034168381685,176868724.6646754,0.29542830831012035,49241.8797979798,64924.0
56,145.11278384387887,802.1361849166994,142.64173984632274,803.3717069154775,2.7627111769641606,7288.0,0.5771989823354701,96.32948563150259,519.7775284550306,94.35349618265126,509.1154253072351,0.02051282051239464,0.8473443399093801,4851.448836892369,0.9425425484686671,0.20575528639812196,0.3167337828508302,98568524.86608152,0.21572255760004064,48577.63350713502,65024.0
