file,folder,filename,acquired,microscope_type,software_version,image_width_px,image_height_px,HV_kV,spot_size,WD_mm,pixel_width_nm,pixel_height_nm,HFW_um,VFW_um,magnification_x,dwell_time_us,frame_time_s,line_integration,detector_name,detector_signal,vacuum_mode,chamber_pressure_mbar,active_stage,scan_rotation_deg
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\200 nm\Latex particle_T2_200nm_002.tif,200 nm,Latex particle_T2_200nm_002.tif,02/07/2025 11:30:50 AM,SEM,13.9.1.6395,3072,2048,2.0,4.0,3.28121,0.539583,0.539583,1.6576,1.10507,312500.0,5.0,126.423,4.0,T2,SE,High vacuum,0.000139941,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\50nm_T1_01.tif,50 nm,50nm_T1_01.tif,12/17/2025 12:26:08 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.7664,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000282496,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\50nm_T1_02.tif,50 nm,50nm_T1_02.tif,12/17/2025 12:28:09 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.76608,0.770833,0.770833,1.184,0.789333,437500.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000282496,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\50nm_T1_03.tif,50 nm,50nm_T1_03.tif,12/17/2025 12:29:06 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.76608,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000279584,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\50nm_T2_01.tif,50 nm,50nm_T2_01.tif,12/17/2025 12:26:08 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.7664,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000282496,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\50nm_T2_02.tif,50 nm,50nm_T2_02.tif,12/17/2025 12:28:09 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.76608,0.770833,0.770833,1.184,0.789333,437500.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000282496,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\50nm_T2_03.tif,50 nm,50nm_T2_03.tif,12/17/2025 12:29:06 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.76608,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000279584,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\Latex particle_T2_50nm_001.tif,50 nm,Latex particle_T2_50nm_001.tif,02/14/2025 12:16:58 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.93545,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000211537,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\Latex particle_T2_50nm_002.tif,50 nm,Latex particle_T2_50nm_002.tif,02/14/2025 12:19:27 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9355500000000005,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000208995,Bulk,-0.366836
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\50 nm\Latex particle_T2_50nm_003.tif,50 nm,Latex particle_T2_50nm_003.tif,02/14/2025 12:20:55 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.93528,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000206039,Bulk,-0.366836
